Indice;Fecha_larga;Fecha_AAAAMMDD;B1;B2;B3;B4;B5;B6;C;R;Recaudación;Bote;ACE;PCE;AC1;PC1;AC2;PC2;AC3;PC3;AC4;PC4;AC5;PC5;ACR;PCR
485; Resultado del  sábado 9 de enero de 2016;20160109; 04; 10; 12; 14; 17; 47;09;0;13.570.201,00;0;0;0,00;1;1.615.858,58;5;48.475,76;233;2.253,88;14.035;60,44;258.368;8,00;1.355.927;1,00
486; Resultado del  jueves 7 de enero de 2016;20160107; 15; 24; 31; 38; 41; 46;32;9;13.353.156,00;0;0;0,00;0;0,00;8;32.813,28;186;3.057,87;10.716;85,74;204.227;8,00;1.337.887;1,00
487; Resultado del  sábado 2 de enero de 2016;20160102; 05; 06; 08; 10; 29; 37;35;9;13.400.412,00;0;1;42.953.760,71;2;802.366,68;5;48.142,00;235;2.219,31;13.871;60,74;252.294;8,00;1.335.555;1,00
488; Resultado del  jueves 31 de diciembre de 2015;20151231; 05; 30; 33; 37; 41; 42;24;0;15.729.209,00;0;0;0,00;0;0,00;6;52.278,16;192;3.539,67;11.538;95,15;231.291;8,00;1.568.010;1,00
489; Resultado del  sábado 26 de diciembre de 2015;20151226; 12; 15; 20; 41; 43; 47;03;7;12.736.140,00;0;0;0,00;1;1.635.820,40;7;35.053,29;194;2.740,42;10.288;83,48;205.214;8,00;1.272.543;1,00
490; Resultado del  jueves 24 de diciembre de 2015;20151224; 03; 18; 26; 37; 39; 42;19;0;14.964.554,00;0;0;0,00;1;1.902.586,12;5;57.077,58;331;1.868,10;13.818;72,29;247.198;8,00;1.494.355;1,00
491; Resultado del  sábado 19 de diciembre de 2015;20151219; 07; 08; 15; 16; 34; 35;42;0;13.871.197,00;0;0;0,00;0;0,00;4;62.112,34;217;2.480,68;12.296;70,72;262.652;8,00;1.384.638;1,00
492; Resultado del  jueves 17 de diciembre de 2015;20151217; 11; 28; 34; 38; 46; 49;16;2;14.743.001,00;0;0;0,00;0;0,00;5;58.431,73;184;3.440,27;11.988;85,30;220.630;8,00;1.470.439;1,00
493; Resultado del  sábado 12 de diciembre de 2015;20151212; 10; 22; 30; 36; 45; 47;32;2;13.635.853,00;0;0;0,00;1;1.749.586,34;5;52.487,59;190;2.992,71;11.238;81,73;220.271;8,00;1.366.331;1,00
494; Resultado del  jueves 10 de diciembre de 2015;20151210; 21; 22; 32; 33; 38; 42;17;7;14.128.297,00;0;0;0,00;0;0,00;2;140.904,65;153;3.990,76;10.165;97,03;207.614;8,00;1.414.820;1,00
495; Resultado del  sábado 5 de diciembre de 2015;20151205; 02; 11; 13; 14; 28; 46;21;5;13.984.137,00;0;0;0,00;0;0,00;4;62.621,01;245;2.215,16;14.547;60,27;264.766;8,00;1.395.171;1,00
496; Resultado del  jueves 3 de diciembre de 2015;20151203; 12; 20; 23; 24; 44; 48;01;8;14.781.914,00;0;0;0,00;0;0,00;2;139.272,88;185;3.262,25;12.490;78,06;251.179;8,00;1.477.234;1,00
497; Resultado del  sábado 28 de noviembre de 2015;20151128; 06; 20; 22; 30; 46; 47;42;3;14.022.901,00;0;0;0,00;0;0,00;3;90.837,31;175;3.373,96;11.048;86,33;221.055;8,00;1.405.422;1,00
498; Resultado del  jueves 26 de noviembre de 2015;20151126; 01; 13; 18; 19; 39; 45;16;3;14.810.013,00;0;0;0,00;0;0,00;3;92.977,80;244;2.476,87;12.862;75,90;251.952;8,00;1.483.160;1,00
499; Resultado del  sábado 21 de noviembre de 2015;20151121; 02; 06; 29; 38; 40; 46;19;8;13.629.572,00;0;0;0,00;1;1.835.918,16;5;55.077,54;151;3.951,48;9.591;100,50;192.939;8,00;1.357.199;1,00
500; Resultado del  jueves 19 de noviembre de 2015;20151119; 11; 15; 25; 40; 47; 48;06;5;14.480.192,00;0;0;0,00;1;1.807.205,76;1;271.080,86;216;2.719,18;12.330;76,95;249.759;8,00;1.448.729;1,00
501; Resultado del  sábado 14 de noviembre de 2015;20151114; 13; 14; 15; 32; 40; 49;08;5;13.801.207,00;0;0;0,00;1;1.719.359,66;7;36.843,42;189;2.956,57;12.324;73,24;239.018;8,00;1.375.472;1,00
502; Resultado del  jueves 12 de noviembre de 2015;20151112; 10; 23; 25; 31; 40; 46;24;7;14.678.757,00;0;0;0,00;1;1.890.217,86;6;47.255,45;197;3.118,38;12.161;81,60;234.987;8,00;1.469.800;1,00
503; Resultado del  sábado 7 de noviembre de 2015;20151107; 03; 04; 20; 24; 29; 49;05;7;13.963.674,00;0;0;0,00;1;1.706.325,32;10;25.594,88;248;2.236,11;13.265;67,53;252.230;8,00;1.393.888;1,00
504; Resultado del  jueves 5 de noviembre de 2015;20151105; 01; 06; 25; 35; 36; 41;20;3;14.831.732,00;0;0;0,00;0;0,00;4;71.454,35;191;3.242,26;11.707;85,45;238.832;8,00;1.483.647;1,00
505; Resultado del  sábado 31 de octubre de 2015;20151031; 13; 16; 24; 30; 38; 48;15;4;14.155.202,00;0;0;0,00;3;589.351,59;3;88.402,74;187;3.072,82;12.466;74,46;243.713;8,00;1.416.140;1,00
506; Resultado del  jueves 29 de octubre de 2015;20151029; 25; 27; 33; 36; 41; 45;17;2;15.028.171,00;0;0;0,00;0;0,00;5;56.560,67;216;2.836,76;13.303;74,41;256.161;8,00;1.502.261;1,00
507; Resultado del  sábado 24 de octubre de 2015;20151024; 01; 15; 20; 33; 46; 47;40;9;13.956.108,00;0;0;0,00;0;0,00;6;44.443,53;263;2.196,83;12.845;72,66;229.487;8,00;1.397.616;1,00
508; Resultado del  jueves 22 de octubre de 2015;20151022; 02; 03; 08; 21; 27; 41;15;3;15.003.713,00;0;0;0,00;0;0,00;8;33.516,53;230;2.525,88;15.038;62,41;285.350;8,00;1.502.344;1,00
509; Resultado del  sábado 17 de octubre de 2015;20151017; 01; 02; 11; 21; 22; 44;15;4;15.678.537,00;0;0;0,00;2;944.101,93;8;35.403,82;601;1.021,08;18.782;52,78;291.854;8,00;1.570.895;1,00
510; Resultado del  jueves 15 de octubre de 2015;20151015; 01; 07; 21; 27; 38; 46;41;6;26.982.383,00;0;1;98.440.117,36;1;3.284.441,74;8;61.583,28;425;2.511,63;26.384;65,36;491.371;8,00;2.699.502;1,00
511; Resultado del  sábado 10 de octubre de 2015;20151010; 07; 11; 22; 23; 26; 30;04;0;18.263.762,00;0;0;0,00;2;1.002.306,58;19;15.825,89;483;1.348,86;24.553;42,86;400.895;8,00;1.829.245;1,00
512; Resultado del  jueves 8 de octubre de 2015;20151008; 12; 14; 21; 30; 37; 40;39;3;21.997.894,00;0;0;0,00;2;1.403.924,06;8;52.647,15;325;2.807,85;18.903;77,98;359.929;8,00;2.205.289;1,00
513; Resultado del  sábado 3 de octubre de 2015;20151003; 01; 19; 21; 28; 45; 48;17;0;17.625.690,00;0;0;0,00;1;2.243.955,40;8;42.074,16;251;2.905,52;14.450;81,53;290.209;8,00;1.762.649;1,00
514; Resultado del  jueves 1 de octubre de 2015;20151001; 11; 17; 30; 39; 45; 49;33;1;19.259.646,00;0;0;0,00;2;1.241.742,54;10;37.252,28;248;3.254,57;16.189;80,54;307.266;8,00;1.928.621;1,00
515; Resultado del  sábado 26 de septiembre de 2015;20150926; 18; 19; 26; 35; 46; 49;11;4;16.858.885,00;0;0;0,00;0;0,00;3;110.306,61;206;3.480,55;13.061;88,68;258.896;8,00;1.685.988;1,00
516; Resultado del  jueves 24 de septiembre de 2015;20150924; 05; 11; 19; 27; 34; 46;47;6;18.307.134,00;0;0;0,00;3;743.300,57;14;23.891,80;548;1.322,48;20.752;56,41;332.932;8,00;1.831.653;1,00
517; Resultado del  sábado 19 de septiembre de 2015;20150919; 02; 03; 12; 16; 29; 37;36;1;16.440.021,00;0;0;0,00;0;0,00;6;50.419,30;254;2.580,52;16.033;66,04;294.510;8,00;1.648.277;1,00
518; Resultado del  jueves 17 de septiembre de 2015;20150917; 16; 17; 23; 24; 39; 42;37;4;18.007.260,00;0;0;0,00;1;2.262.852,40;7;48.489,69;230;3.197,51;15.302;77,64;305.767;8,00;1.798.973;1,00
519; Resultado del  sábado 12 de septiembre de 2015;20150912; 09; 14; 19; 43; 44; 48;03;0;16.256.416,00;0;0;0,00;0;0,00;3;106.589,66;207;3.347,02;12.520;89,39;248.238;8,00;1.623.829;1,00
520; Resultado del  jueves 10 de septiembre de 2015;20150910; 11; 19; 22; 26; 28; 30;17;1;18.246.918,00;0;0;0,00;1;2.193.232,44;17;19.352,05;429;1.661,54;20.416;56,40;341.004;8,00;1.835.819;1,00
521; Resultado del  sábado 5 de septiembre de 2015;20150905; 05; 17; 21; 23; 42; 46;29;9;16.243.880,00;0;0;0,00;0;0,00;11;26.694,25;400;1.590,53;18.298;56,17;301.975;8,00;1.626.609;1,00
522; Resultado del  jueves 3 de septiembre de 2015;20150903; 03; 07; 15; 37; 38; 46;42;7;17.914.825,00;0;0;0,00;1;2.076.127,70;6;51.903,19;377;1.789,77;20.671;52,73;358.919;8,00;1.794.720;1,00
523; Resultado del  sábado 29 de agosto de 2015;20150829; 01; 06; 41; 47; 48; 49;45;8;15.735.039,00;0;0;0,00;0;0,00;7;42.747,15;302;2.146,79;17.801;58,83;261.700;8,00;1.572.992;1,00
524; Resultado del  jueves 27 de agosto de 2015;20150827; 08; 13; 24; 32; 39; 42;18;8;17.791.410,00;0;0;0,00;2;1.096.495,70;8;41.118,59;332;2.146,75;17.364;66,31;315.457;8,00;1.778.864;1,00
525; Resultado del  sábado 22 de agosto de 2015;20150822; 01; 16; 25; 28; 33; 38;27;9;15.640.557,00;0;0;0,00;0;0,00;4;73.781,44;216;2.960,37;13.664;75,60;264.936;8,00;1.566.515;1,00
526; Resultado del  jueves 20 de agosto de 2015;20150820; 03; 10; 12; 23; 35; 39;43;2;17.648.673,00;0;0;0,00;1;2.128.869,94;10;31.933,05;317;2.182,60;17.478;63,95;327.466;8,00;1.768.578;1,00
527; Resultado del  sábado 15 de agosto de 2015;20150815; 12; 19; 24; 39; 40; 42;44;9;11.698.423,00;0;0;0,00;1;1.518.871,34;3;75.943,57;199;2.480,57;9.665;82,50;183.389;8,00;1.169.950;1,00
528; Resultado del  jueves 13 de agosto de 2015;20150813; 11; 19; 25; 26; 29; 30;03;5;15.352.514,00;0;0;0,00;1;1.893.372,52;8;35.500,74;279;2.205,54;15.364;64,70;271.900;8,00;1.538.884;1,00
529; Resultado del  sábado 8 de agosto de 2015;20150808; 03; 09; 13; 15; 25; 28;21;0;13.629.240,00;0;0;0,00;8;158.767,90;20;9.526,07;568;726,75;25.920;25,73;369.725;8,00;1.362.954;1,00
530; Resultado del  jueves 6 de agosto de 2015;20150806; 10; 14; 17; 33; 39; 46;03;5;14.762.112,00;0;0;0,00;1;1.936.456,96;11;26.406,23;250;2.517,39;12.475;81,49;225.226;8,00;1.476.502;1,00
531; Resultado del  sábado 1 de agosto de 2015;20150801; 01; 09; 16; 20; 28; 31;25;7;13.964.683,00;0;0;0,00;2;865.725,47;11;23.610,69;269;2.091,90;14.296;63,59;244.435;8,00;1.398.587;1,00
532; Resultado del  jueves 30 de julio de 2015;20150730; 04; 08; 13; 19; 32; 46;43;7;14.959.504,00;0;0;0,00;1;1.823.865,92;2;136.789,95;286;2.072,57;15.353;62,37;271.514;8,00;1.495.561;1,00
533; Resultado del  sábado 25 de julio de 2015;20150725; 04; 06; 12; 16; 25; 43;18;0;13.573.583,00;0;0;0,00;1;1.555.337,74;3;77.766,89;317;1.594,59;16.461;49,61;277.471;8,00;1.358.531;1,00
534; Resultado del  jueves 23 de julio de 2015;20150723; 12; 20; 28; 36; 39; 45;31;4;14.654.935,00;0;0;0,00;0;0,00;4;72.122,89;239;2.615,33;11.713;86,21;223.316;8,00;1.470.565;1,00
535; Resultado del  sábado 18 de julio de 2015;20150718; 01; 24; 30; 41; 45; 46;20;4;13.768.976,00;0;0;0,00;0;0,00;3;92.780,94;139;4.338,68;9.100;107,05;194.624;8,00;1.372.926;1,00
536; Resultado del  jueves 16 de julio de 2015;20150716; 02; 03; 04; 07; 21; 38;24;4;14.573.595,00;0;0;0,00;0;0,00;12;20.167,31;300;1.747,83;18.095;46,81;315.582;8,00;1.457.313;1,00
537; Resultado del  sábado 11 de julio de 2015;20150711; 12; 20; 22; 23; 30; 44;11;6;13.550.983,00;0;0;0,00;0;0,00;7;36.122,18;193;2.838,62;12.146;72,86;235.461;8,00;1.354.407;1,00
538; Resultado del  jueves 9 de julio de 2015;20150709; 06; 07; 14; 15; 25; 43;12;8;14.516.819,00;0;0;0,00;2;786.748,91;8;29.503,08;304;1.682,19;17.987;45,93;324.853;8,00;1.453.273;1,00
539; Resultado del  sábado 4 de julio de 2015;20150704; 18; 19; 28; 45; 46; 49;35;4;13.713.379,00;0;0;0,00;1;1.829.102,62;2;137.182,70;168;3.538,44;9.442;101,70;199.783;8,00;1.371.064;1,00
540; Resultado del  jueves 2 de julio de 2015;20150702; 18; 21; 32; 36; 45; 46;25;4;14.518.227,00;0;0;0,00;0;0,00;7;40.392,29;164;3.735,47;11.221;88,19;227.596;8,00;1.448.157;1,00
541; Resultado del  sábado 27 de junio de 2015;20150627; 01; 08; 10; 16; 26; 32;15;2;13.438.353,00;0;0;0,00;1;1.646.247,54;8;30.867,14;214;2.500,14;13.824;62,52;241.455;8,00;1.343.747;1,00
542; Resultado del  jueves 25 de junio de 2015;20150625; 01; 02; 07; 08; 11; 42;32;5;14.089.403,00;0;0;0,00;0;0,00;4;59.764,55;332;1.560,12;17.068;49,02;294.491;8,00;1.412.910;1,00
543; Resultado del  sábado 20 de junio de 2015;20150620; 09; 17; 21; 31; 34; 41;39;3;13.388.511,00;0;0;0,00;0;0,00;10;25.881,16;199;2.817,88;11.463;79,02;213.913;8,00;1.342.505;1,00
544; Resultado del  jueves 18 de junio de 2015;20150618; 11; 14; 19; 24; 39; 43;42;2;14.369.516,00;0;0;0,00;0;0,00;2;138.889,03;186;3.235,77;11.675;83,27;229.581;8,00;1.442.607;1,00
545; Resultado del  sábado 13 de junio de 2015;20150613; 24; 37; 40; 41; 43; 46;47;3;12.937.312,00;0;0;0,00;1;1.754.920,96;2;131.619,07;145;3.933,44;9.216;99,97;179.311;8,00;1.294.964;1,00
546; Resultado del  jueves 11 de junio de 2015;20150611; 11; 15; 21; 25; 38; 44;02;2;13.469.221,00;0;0;0,00;3;539.512,19;9;26.975,61;237;2.219,51;13.680;62,11;251.851;8,00;1.350.561;1,00
547; Resultado del  sábado 6 de junio de 2015;20150606; 03; 28; 30; 31; 36; 41;49;7;12.874.563,00;0;0;0,00;1;1.704.851,74;5;51.145,55;133;4.165,99;8.954;99,96;191.428;8,00;1.288.536;1,00
548; Resultado del  jueves 4 de junio de 2015;20150604; 03; 10; 13; 30; 33; 47;27;7;13.424.118,00;0;0;0,00;1;1.528.910,84;6;38.222,77;344;1.444,47;17.196;46,68;277.322;8,00;1.339.883;1,00
549; Resultado del  sábado 30 de mayo de 2015;20150530; 17; 20; 27; 29; 35; 40;36;5;13.076.226,00;0;0;0,00;0;0,00;3;85.851,31;160;3.487,71;10.153;88,79;198.967;8,00;1.309.163;1,00
550; Resultado del  jueves 28 de mayo de 2015;20150528; 16; 36; 41; 47; 48; 49;31;4;13.539.777,00;0;0;0,00;0;0,00;5;53.255,37;208;2.773,72;11.502;81,03;206.869;8,00;1.350.241;1,00
551; Resultado del  sábado 23 de mayo de 2015;20150523; 02; 04; 06; 31; 39; 42;33;7;12.701.904,00;0;0;0,00;0;0,00;4;61.465,69;150;3.551,35;9.684;88,86;202.268;8,00;1.268.357;1,00
552; Resultado del  jueves 21 de mayo de 2015;20150521; 08; 09; 18; 30; 33; 49;07;4;13.335.221,00;0;0;0,00;1;1.645.648,58;6;41.141,22;182;2.938,66;12.193;70,86;235.841;8,00;1.335.994;1,00
553; Resultado del  sábado 16 de mayo de 2015;20150516; 02; 18; 20; 35; 43; 44;15;2;12.688.767,00;0;0;0,00;0;0,00;11;23.121,00;159;3.465,73;9.413;94,57;183.887;8,00;1.265.390;1,00
554; Resultado del  jueves 14 de mayo de 2015;20150514; 03; 08; 12; 22; 29; 49;13;7;13.328.141,00;0;0;0,00;0;0,00;8;28.661,28;305;1.628,84;15.227;52,70;272.020;8,00;1.331.303;1,00
555; Resultado del  sábado 9 de mayo de 2015;20150509; 06; 20; 30; 36; 41; 49;04;2;12.674.165,00;0;0;0,00;0;0,00;3;84.147,17;164;3.335,10;8.957;98,64;187.002;8,00;1.271.547;1,00
556; Resultado del  jueves 7 de mayo de 2015;20150507; 09; 11; 14; 35; 45; 47;27;3;13.215.402,00;0;0;0,00;0;0,00;5;49.376,39;186;2.875,86;12.367;69,87;229.029;8,00;1.318.503;1,00
557; Resultado del  sábado 2 de mayo de 2015;20150502; 07; 13; 36; 39; 48; 49;25;4;12.088.478,00;0;0;0,00;1;1.408.607,64;10;21.129,12;252;1.816,66;13.927;53,10;239.787;8,00;1.214.684;1,00
558; Resultado del  jueves 30 de abril de 2015;20150430; 01; 08; 10; 32; 38; 40;12;7;13.635.142,00;0;0;0,00;0;0,00;2;131.779,86;206;2.772,07;10.599;87,03;217.894;8,00;1.361.662;1,00
559; Resultado del  sábado 25 de abril de 2015;20150425; 03; 29; 33; 43; 47; 48;38;5;12.594.337,00;0;0;0,00;0;0,00;0;0,00;147;5.121,21;11.030;75,44;213.157;8,00;1.255.247;1,00
560; Resultado del  jueves 23 de abril de 2015;20150423; 02; 14; 16; 23; 31; 49;21;9;13.002.675,00;0;0;0,00;2;798.192,75;9;26.606,43;257;2.018,78;13.020;64,37;232.530;8,00;1.303.609;1,00
561; Resultado del  sábado 18 de abril de 2015;20150418; 04; 06; 17; 18; 36; 38;15;5;12.708.655,00;0;0;0,00;2;788.988,55;4;59.174,14;174;2.947,37;11.105;74,60;221.744;8,00;1.271.420;1,00
562; Resultado del  jueves 16 de abril de 2015;20150416; 07; 31; 32; 37; 38; 47;20;3;13.243.937,00;0;0;0,00;0;0,00;1;255.809,02;138;4.016,33;9.570;93,56;212.036;8,00;1.325.863;1,00
563; Resultado del  sábado 11 de abril de 2015;20150411; 09; 23; 24; 28; 35; 41;08;3;12.785.348,00;0;0;0,00;1;1.609.097,04;2;120.682,28;169;3.094,42;11.395;74,14;216.333;8,00;1.283.510;1,00
564; Resultado del  jueves 9 de abril de 2015;20150409; 04; 08; 13; 16; 39; 46;35;6;13.079.972,00;0;0;0,00;1;1.631.111,76;4;61.166,69;193;2.746,69;11.449;74,80;226.026;8,00;1.308.352;1,00
565; Resultado del  sábado 4 de abril de 2015;20150404; 11; 15; 16; 21; 27; 33;24;9;11.510.535,00;0;0;0,00;0;0,00;4;49.634,71;204;2.108,66;13.559;51,25;233.845;8,00;1.149.471;1,00
566; Resultado del  jueves 2 de abril de 2015;20150402; 05; 14; 18; 30; 46; 48;01;8;12.285.795,00;0;0;0,00;0;0,00;9;26.256,69;192;2.666,70;10.695;77,33;198.763;8,00;1.229.683;1,00
567; Resultado del  sábado 28 de marzo de 2015;20150328; 01; 02; 07; 17; 38; 49;22;5;13.071.865,00;0;1;17.119.733,41;2;739.151,05;5;44.349,06;265;1.813,01;14.866;52,21;273.323;8,00;1.309.674;1,00
568; Resultado del  jueves 26 de marzo de 2015;20150326; 11; 23; 35; 38; 46; 49;02;0;13.685.021,00;0;0;0,00;1;1.748.740,58;9;29.145,68;263;2.160,99;13.276;69,15;223.301;8,00;1.365.880;1,00
569; Resultado del  sábado 21 de marzo de 2015;20150321; 04; 05; 11; 23; 40; 44;19;3;12.995.258,00;0;0;0,00;0;0,00;4;58.921,23;229;2.229,92;12.510;65,94;239.973;8,00;1.297.881;1,00
570; Resultado del  jueves 19 de marzo de 2015;20150319; 01; 11; 15; 23; 27; 30;46;5;13.390.143,00;0;0;0,00;2;741.148,07;11;20.213,13;448;1.075,33;18.764;41,47;289.978;8,00;1.339.966;1,00
571; Resultado del  sábado 14 de marzo de 2015;20150314; 08; 09; 32; 34; 39; 47;35;7;13.347.591,00;0;0;0,00;0;0,00;4;66.788,16;144;4.019,66;9.188;101,77;194.234;8,00;1.336.879;1,00
572; Resultado del  jueves 12 de marzo de 2015;20150312; 18; 19; 30; 34; 43; 45;10;0;14.094.225,00;0;0;0,00;1;1.910.157,30;5;57.304,72;160;3.880,01;9.218;108,79;195.876;8,00;1.414.255;1,00
573; Resultado del  sábado 7 de marzo de 2015;20150307; 01; 08; 09; 20; 43; 45;36;9;13.233.615,00;0;0;0,00;0;0,00;8;31.279,01;219;2.475,66;11.549;75,83;223.074;8,00;1.320.876;1,00
574; Resultado del  jueves 5 de marzo de 2015;20150305; 02; 05; 21; 24; 28; 44;30;3;13.661.086,00;0;0;0,00;0;0,00;4;60.483,61;346;1.515,00;15.131;55,96;264.406;8,00;1.373.616;1,00
575; Resultado del  sábado 28 de febrero de 2015;20150228; 07; 08; 22; 23; 30; 48;39;4;12.885.995,00;0;0;0,00;0;0,00;1;226.319,15;215;2.280,74;13.198;60,02;253.339;8,00;1.293.218;1,00
576; Resultado del  jueves 26 de febrero de 2015;20150226; 05; 18; 20; 22; 30; 37;42;7;13.429.137,00;0;0;0,00;1;1.607.539,06;9;26.792,32;269;1.942,19;14.543;58,03;253.033;8,00;1.342.174;1,00
577; Resultado del  sábado 21 de febrero de 2015;20150221; 09; 12; 14; 24; 37; 40;07;9;12.927.283,00;0;0;0,00;5;317.193,39;8;29.736,88;247;2.086,80;12.737;65,37;231.545;8,00;1.289.848;1,00
578; Resultado del  jueves 19 de febrero de 2015;20150219; 11; 13; 20; 24; 35; 38;46;2;15.245.184,00;0;1;44.147.399,02;2;936.514,56;10;28.095,44;290;2.099,08;14.573;67,48;272.220;8,00;1.525.891;1,00
579; Resultado del  sábado 14 de febrero de 2015;20150214; 01; 04; 12; 33; 44; 47;27;8;14.673.731,00;0;0;0,00;2;907.509,39;9;30.250,31;257;2.295,26;13.893;68,59;258.204;8,00;1.466.875;1,00
580; Resultado del  jueves 12 de febrero de 2015;20150212; 13; 29; 35; 37; 41; 49;21;1;None;43.500.000;0;0,00;1;2.001.125,18;6;50.028,13;242;2.687,46;13.638;77,03;257.180;8,00;1.565.614;1,00
581; Resultado del  sábado 7 de febrero de 2015;20150207; 12; 21; 28; 30; 38; 42;47;3;14.694.951,00;0;0;0,00;0;0,00;3;94.123,68;176;3.476,16;11.238;87,94;238.318;8,00;1.471.488;1,00
582; Resultado del  jueves 5 de febrero de 2015;20150205; 04; 07; 32; 34; 46; 49;06;2;15.480.556,00;0;0;0,00;0;0,00;7;41.888,11;248;2.561,71;14.202;72,26;259.913;8,00;1.545.135;1,00
583; Resultado del  sábado 31 de enero de 2015;20150131; 08; 13; 23; 38; 42; 48;31;2;14.390.411,00;0;0;0,00;0;0,00;1;264.571,50;258;2.221,85;13.808;67,06;258.270;8,00;1.441.434;1,00
584; Resultado del  jueves 29 de enero de 2015;20150129; 06; 11; 12; 25; 31; 43;28;1;15.429.070,00;0;0;0,00;0;0,00;16;17.135,41;353;1.682,80;17.642;54,39;296.705;8,00;1.541.940;1,00
585; Resultado del  sábado 24 de enero de 2015;20150124; 07; 14; 16; 36; 37; 47;29;1;14.015.558,00;0;0;0,00;1;1.686.662,84;6;42.166,57;253;2.166,66;14.096;62,82;261.293;8,00;1.398.390;1,00
586; Resultado del  jueves 22 de enero de 2015;20150122; 14; 18; 20; 25; 38; 44;34;8;14.770.474,00;0;0;0,00;1;1.871.523,72;5;56.145,71;221;2.752,24;13.256;74,12;245.988;8,00;1.472.473;1,00
587; Resultado del  sábado 17 de enero de 2015;20150117; 13; 20; 22; 29; 30; 48;04;8;14.286.789,00;0;0;0,00;0;0,00;2;134.468,85;203;2.870,44;12.468;75,50;243.345;8,00;1.422.088;1,00
588; Resultado del  jueves 15 de enero de 2015;20150115; 04; 12; 13; 24; 35; 43;44;6;15.232.250,00;0;0;0,00;2;895.726,50;5;53.743,59;283;2.057,32;16.456;57,15;296.985;8,00;1.511.838;1,00
589; Resultado del  sábado 10 de enero de 2015;20150110; 18; 27; 37; 41; 42; 49;20;2;14.176.650,00;0;0;0,00;0;0,00;5;56.626,61;172;3.566,60;9.795;101,17;207.576;8,00;1.416.721;1,00
590; Resultado del  jueves 8 de enero de 2015;20150108; 02; 03; 10; 38; 40; 43;42;5;14.664.190,00;0;0;0,00;2;958.533,90;3;95.853,39;211;2.952,83;11.098;90,69;225.777;8,00;1.464.889;1,00
591; Resultado del  sábado 3 de enero de 2015;20150103; 01; 21; 22; 25; 28; 30;06;1;13.315.312,00;0;0;0,00;0;0,00;7;34.218,33;278;1.866,83;13.880;60,40;249.969;8,00;1.330.168;1,00
592; Resultado del  jueves 1 de enero de 2015;20150101; 11; 16; 23; 32; 34; 49;45;4;12.482.410,00;0;0;0,00;1;1.575.819,40;2;118.186,46;225;2.276,18;11.689;70,78;209.692;8,00;1.249.792;1,00
593; Resultado del  sábado 27 de diciembre de 2014;20141227; 01; 10; 21; 23; 33; 47;18;8;12.771.813,00;0;0;0,00;2;786.743,17;5;47.204,59;202;2.531,60;11.970;69,01;226.700;8,00;1.277.871;1,00
594; Resultado del  jueves 25 de diciembre de 2014;20141225; 06; 30; 32; 37; 39; 44;31;4;11.720.480,00;0;0;0,00;0;0,00;3;80.342,24;132;3.956,25;8.111;104,01;157.138;8,00;1.169.187;1,00
595; Resultado del  sábado 20 de diciembre de 2014;20141220; 12; 20; 22; 26; 34; 40;16;2;None;14.500.000;0;0,00;0;0,00;3;83.764,64;192;2.835,78;11.418;77,03;217.443;8,00;1.321.253;1,00
596; Resultado del  jueves 18 de diciembre de 2014;20141218; 08; 18; 31; 36; 41; 43;10;8;13.635.556,00;0;0;0,00;4;454.592,82;0;0,00;154;5.608,61;9.543;100,04;198.759;8,00;1.363.450;1,00
597; Resultado del  sábado 13 de diciembre de 2014;20141213; 01; 25; 27; 36; 39; 42;14;5;12.779.236,00;0;0;0,00;0;0,00;7;35.801,42;157;3.458,52;9.782;89,67;196.728;8,00;1.275.176;1,00
598; Resultado del  jueves 11 de diciembre de 2014;20141211; 02; 16; 36; 38; 44; 49;08;8;13.249.614,00;0;0;0,00;0;0,00;8;32.730,59;169;3.356,98;10.343;88,61;199.781;8,00;1.321.602;1,00
599; Resultado del  sábado 6 de diciembre de 2014;20141206; 03; 10; 11; 15; 21; 37;41;1;12.495.573,00;0;0;0,00;0;0,00;6;35.022,88;284;1.603,16;15.027;48,94;265.090;8,00;1.247.107;1,00
600; Resultado del  jueves 4 de diciembre de 2014;20141204; 09; 18; 22; 23; 34; 35;25;2;13.485.133,00;0;0;0,00;1;1.660.655,14;3;83.032,76;199;2.712,13;12.026;72,50;239.584;8,00;1.345.892;1,00
601; Resultado del  sábado 29 de noviembre de 2014;20141129; 02; 08; 25; 29; 32; 37;21;2;12.695.843,00;0;0;0,00;0;0,00;10;23.478,49;269;1.891,08;12.924;63,58;225.006;8,00;1.267.966;1,00
602; Resultado del  jueves 27 de noviembre de 2014;20141127; 02; 08; 22; 33; 37; 42;13;5;12.961.005,00;0;0;0,00;1;1.598.139,30;7;34.245,84;233;2.229,16;12.479;67,23;229.638;8,00;1.292.223;1,00
603; Resultado del  sábado 22 de noviembre de 2014;20141122; 08; 09; 10; 25; 26; 31;45;3;13.309.661,00;0;1;31.597.062,93;1;1.566.567,78;3;78.328,39;359;1.418,20;14.895;55,22;259.116;8,00;1.335.368;1,00
604; Resultado del  jueves 20 de noviembre de 2014;20141120; 09; 28; 31; 36; 43; 46;21;6;14.094.129,00;0;0;0,00;0;0,00;3;94.568,28;140;4.390,67;10.143;97,90;201.743;8,00;1.408.167;1,00
