Indice;Fecha_larga;Fecha_AAAAMMDD;B1;B2;B3;B4;B5;B6;C;R;Recaudación;Bote;ACE;PCE;AC1;PC1;AC2;PC2;AC3;PC3;AC4;PC4;AC5;PC5;ACR;PCR
26; Resultado del  jueves 6 de agosto de 2020;20200806; 18; 23; 33; 35; 36; 41;49;2;12.517.395,00;34.200.000;1;32.903.288,87;1;1.615.300,70;2;121.147,56;179;2.932,81;10.372;81,76;199.322;8,00;1.216.015;1,00
27; Resultado del  sábado 1 de agosto de 2020;20200801; 01; 13; 24; 35; 44; 48;38;3;11.933.926,00;33.800.000;0;0,00;1;1.487.213,88;3;74.360,69;197;2.453,53;11.362;68,72;206.529;8,00;1.214.094;1,00
28; Resultado del  jueves 30 de julio de 2020;20200730; 03; 13; 33; 34; 45; 47;43;0;12.522.354,00;33.700.000;0;0,00;3;471.124,71;15;14.133,74;368;1.248,22;15.988;46,41;262.703;8,00;1.157.163;1,00
29; Resultado del  sábado 25 de julio de 2020;20200725; 03; 16; 33; 37; 43; 45;42;1;None;32.000.000;0;0,00;0;0,00;5;43.794,30;198;2.396,15;11.304;67,80;206.998;8,00;1.115.689;1,00
30; Resultado del  jueves 23 de julio de 2020;20200723; 07; 13; 34; 36; 43; 45;06;4;12.153.118,00;29.500.000;0;0,00;1;1.431.964,44;2;107.397,34;274;1.698,50;13.917;54,02;236.124;8,00;1.200.885;1,00
31; Resultado del  sábado 18 de julio de 2020;20200718; 04; 13; 38; 39; 40; 42;41;9;11.490.819,00;27.000.000;0;0,00;0;0,00;6;37.755,33;139;3.531,07;9.092;87,20;174.417;8,00;1.114.805;1,00
32; Resultado del  jueves 16 de julio de 2020;20200716; 13; 15; 26; 42; 45; 47;07;5;12.221.726,00;26.500.000;0;0,00;2;726.996,94;12;18.174,92;257;1.838,71;12.962;58,89;233.099;8,00;1.310.455;1,00
33; Resultado del  sábado 11 de julio de 2020;20200711; 06; 07; 14; 18; 25; 34;44;9;11.611.979,00;24.500.000;0;0,00;0;0,00;4;50.019,82;227;1.909,71;12.883;54,36;236.342;8,00;1.115.279;1,00
34; Resultado del  jueves 9 de julio de 2020;20200709; 04; 11; 22; 24; 27; 36;41;5;None;22.500.000;0;0,00;0;0,00;6;34.679,41;286;1.576,34;15.002;48,54;250.910;8,00;1.285.461;1,00
35; Resultado del  sábado 4 de julio de 2020;20200704; 04; 07; 12; 15; 36; 41;33;1;11.254.135,00;21.500.000;0;0,00;2;643.563,35;7;27.581,29;271;1.543,60;13.362;50,57;230.818;8,00;1.079.101;1,00
36; Resultado del  jueves 2 de julio de 2020;20200702; 09; 13; 14; 32; 34; 49;23;0;11.589.521,00;19.600.000;0;0,00;0;0,00;4;54.160,27;164;2.862,13;10.086;75,18;200.575;8,00;1.086.144;1,00
37; Resultado del  sábado 27 de junio de 2020;20200627; 18; 28; 33; 38; 46; 49;44;1;10.901.875,00;18.800.000;0;0,00;2;716.730,35;2;107.509,56;137;3.400,55;8.753;85,98;165.274;8,00;1.036.720;1,00
38; Resultado del  jueves 25 de junio de 2020;20200625; 27; 30; 32; 35; 42; 47;07;0;11.114.057,00;16.700.000;0;0,00;0;0,00;2;111.071,93;140;3.437,94;8.103;95,95;162.366;8,00;1.030.223;1,00
39; Resultado del  sábado 20 de junio de 2020;20200620; 08; 09; 24; 28; 42; 47;38;1;10.695.995,00;16.000.000;0;0,00;1;1.313.391,10;1;197.008,67;195;2.188,99;10.035;68,71;191.215;8,00;1.010.144;1,00
40; Resultado del  jueves 18 de junio de 2020;20200618; 09; 15; 17; 18; 37; 46;05;8;11.263.166,00;14.000.000;0;0,00;0;0,00;4;52.325,41;165;2.748,41;9.762;75,04;197.508;8,00;1.123.238;1,00
41; Resultado del  sábado 13 de junio de 2020;20200613; 13; 14; 16; 19; 31; 38;15;9;10.603.641,00;12.000.000;0;0,00;0;0,00;6;33.245,19;166;2.603,54;9.109;76,64;180.890;8,00;1.019.667;1,00
42; Resultado del  jueves 11 de junio de 2020;20200611; 01; 03; 28; 30; 38; 40;37;1;None;11.200.000;0;0,00;1;1.420.036,30;2;106.502,73;140;3.296,51;9.040;82,47;178.162;8,00;1.037.840;1,00
43; Resultado del  sábado 6 de junio de 2020;20200606; 03; 07; 09; 28; 30; 48;16;4;10.241.622,00;10.500.000;0;0,00;2;568.483,58;9;18.949,45;234;1.579,12;12.204;48,91;220.789;8,00;1.021.972;1,00
44; Resultado del  jueves 4 de junio de 2020;20200604; 09; 12; 16; 21; 22; 23;34;8;10.590.958,00;8.600.000;0;0,00;0;0,00;4;45.984,53;230;1.732,75;11.944;53,90;212.537;8,00;1.059.184;1,00
45; Resultado del  sábado 30 de mayo de 2020;20200530; 02; 04; 15; 17; 36; 40;34;5;9.381.749,00;6.800.000;0;0,00;0;0,00;3;57.977,50;140;2.691,81;8.651;70,37;165.364;8,00;997.030;1,00
46; Resultado del  jueves 28 de mayo de 2020;20200528; 18; 24; 28; 31; 42; 49;08;1;9.759.168,00;5.000.000;0;0,00;0;0,00;3;62.718,27;120;3.397,24;7.951;82,83;156.964;8,00;912.557;1,00
47; Resultado del  sábado 23 de mayo de 2020;20200523; 01; 08; 09; 14; 21; 23;46;4;8.928.923,00;3.400.000;0;0,00;0;0,00;5;29.835,83;221;1.462,54;11.867;44,00;191.462;8,00;887.149;1,00
